Career,Required_Skills,Image,Description,Learn_Link,Salary
Frontend Developer,"HTML,CSS,JavaScript,React,Git,Responsive Design",https://cdn-icons-png.flaticon.com/512/5047/5047314.png,Creates responsive and interactive websites using modern frontend technologies.,https://youtu.be/jgfq8OybWZQ?si=vTVemY1YwPyQ4vd3,6-10 LPA
Backend Developer,"Java,Python,Node.js,SQL,APIs,Git",https://cdn-icons-png.flaticon.com/512/4661/4661260.png,"Handles server-side logic, databases, and APIs for secure applications.",https://youtu.be/vfaRzV3P92o?si=mYifRBACMu_vJ3ou,7-12 LPA
Full Stack Developer,"HTML,CSS,JavaScript,React,Node.js,SQL",https://cdn-icons-png.flaticon.com/512/13540/13540845.png,Builds complete web applications by working on both frontend and backend.,https://youtu.be/HVjjoMvutj4?si=zGlgyRx-TwxxuJNE,8-14 LPA
AI Engineer,"Python,Machine Learning,Deep Learning,NLP,TensorFlow,PyTorch",https://cdn-icons-png.flaticon.com/512/6749/6749984.png,Develops intelligent systems using machine learning and deep learning.,https://youtu.be/9tbaiFIm0HU?si=lGs6GpP6WD4k48NU,10-20 LPA
Data Scientist,"Python,R,Statistics,Machine Learning,Pandas,NumPy",https://cdn-icons-png.flaticon.com/512/4241/4241497.png,Analyzes data to find insights and build predictive models.,https://youtu.be/gDZ6czwuQ18?si=gbq12TGPLLXdvW8_,10-18 LPA
Data Analyst,"Excel,SQL,Python,Tableau,Power BI,Statistics",https://cdn-icons-png.flaticon.com/512/7403/7403270.png,"Interprets data using tools like Excel, SQL, and visualization platforms.",https://youtu.be/VaSjiJMrq24?si=uN5qMR7EAgo_O42H,5-9 LPA
Machine Learning Engineer,"Python,TensorFlow,PyTorch,ML Algorithms,Data Processing",https://cdn-icons-png.flaticon.com/512/4413/4413451.png,Builds and deploys machine learning models at production scale.,https://www.youtube.com/live/Mo9nBd1Qqyg?si=Chqg2m4ndtDo0a5y,10-18 LPA
Business Analyst,"Excel,SQL,Power BI,Communication,Problem Solving",https://cdn-icons-png.flaticon.com/512/5726/5726778.png,Analyzes business data to improve processes and decision making.,https://www.youtube.com/live/6zI7kNKniEE?si=nyuizwg3jFXZB7V1,6-10 LPA
UI/UX Designer,"Figma,Adobe XD,Wireframing,Prototyping,Design Thinking",https://cdn-icons-png.flaticon.com/512/8407/8407535.png,Designs user-friendly interfaces and improves user experience.,https://www.youtube.com/watch?v=MBblN98-5lg,5-10 LPA
Mobile App Developer,"Java,Kotlin,Swift,Flutter,React Native,Git",https://cdn-icons-png.flaticon.com/512/7075/7075373.png,Develops mobile applications for Android and iOS platforms.,https://youtu.be/NMOdEHyMXBo?si=GmYm8NlO_SKjTTR-,7-12 LPA
Cybersecurity Analyst,"Network Security,Python,Ethical Hacking,Firewalls,Risk Assessment",https://cdn-icons-png.flaticon.com/512/15097/15097060.png,Protects systems and networks from cyber security threats.,https://www.udemy.com/course/the-complete-hands-on-cybersecurity-analyst-course/?utm_campaign=Search_Keyword_Beta_Prof_la.ES_cc.ROW-Spanish&utm_source=google&utm_medium=paid-search&portfolio=ROW-Spanish&utm_audience=mx&utm_tactic=nb&utm_term=curso%20forense%20digital&utm_content=g&funnel=&test=&gad_source=1&gad_campaignid=21487757259&gbraid=0AAAAADROdO3ZId6KpDOdr5Y43T3nf9WRe&gclid=Cj0KCQiAxonKBhC1ARIsAIHq_lv2f3pSjrQLaoZCrNAtX5OgVsjjQQSIaQ8kZzxzyYdILQoh_E2EcOIaAlK8EALw_wcB,8-15 LPA
Cloud Engineer,"AWS,Azure,GCP,Docker,Kubernetes,Networking",https://cdn-icons-png.flaticon.com/512/6584/6584876.png,Manages cloud infrastructure and cloud-based services.,https://www.youtube.com/watch?v=2LaAJq1lB1Q&list=PL9ooVrP1hQOFtZ5oAAeOgi_nH-txMcDMu,8-16 LPA
DevOps Engineer,"Jenkins,Docker,Kubernetes,Linux,Git,CI/CD",https://cdn-icons-png.flaticon.com/512/5772/5772997.png,Automates deployment pipelines and manages system reliability.,https://www.youtube.com/watch?v=hQcFE0RD0cQ,9-18 LPA
Software Tester,"Selenium,Java,Python,Manual Testing,Automation Testing",https://cdn-icons-png.flaticon.com/512/6554/6554094.png,Tests software manually and automatically to ensure quality.,https://www.youtube.com/watch?v=sO8eGL6SFsA,4-7 LPA
Game Developer,"C++,Unity,Unreal Engine,3D Modeling,Animation",https://cdn-icons-png.flaticon.com/512/2029/2029420.png,Develops games using engines like Unity and Unreal Engine.,https://youtu.be/4_92hSf0dJY?si=1YUa7gqbpb0Bxh8s,6-12 LPA
Blockchain Developer,"Solidity,Ethereum,Smart Contracts,Web3.js,Cryptography",https://cdn-icons-png.flaticon.com/512/13140/13140046.png,Builds decentralized applications using blockchain technology.,https://www.youtube.com/watch?v=6aF6p2VUORE,8-16 LPA
IoT Developer,"Python,Arduino,Raspberry Pi,Sensors,Networking",https://cdn-icons-png.flaticon.com/512/8433/8433387.png,Develops smart devices using sensors and embedded systems.,https://www.youtube.com/watch?v=h0gWfVCSGQQ,6-12 LPA
