Career,Required_Skills,description,image,learn_link
Frontend Developer,HTML,CSS,JavaScript,React,Git,Responsive Design,Create frontend UI using modern frameworks.,<a href="https://www.flaticon.com/free-icons/web-development" title="web development icons">Web development icons created by surang - Flaticon</a>,https://youtu.be/jgfq8OybWZQ?si=ZE-3zLm0ESaeySFv
Backend Developer,Java,Python,Node.js,SQL,APIs,Git,Builds and maintains the server-side logic and databases for web applications.,[Placeholder: Icon of a Server],http://www.youtube.com/playlist?list=PLWKjhJtqVAbn21gs5UnLhCQ82f923WCgM
Full Stack Developer,HTML,CSS,JavaScript,React,Node.js,SQL,Manages and develops both the front-end (UI) and back-end (server logic) of an application.,[Placeholder: Icon of a complete Web Stack],http://www.youtube.com/playlist?list=PLwoh6bBAszPrES-EOajos_E9gvRbL27wz
AI Engineer,Python,Machine Learning,Deep Learning,NLP,TensorFlow,PyTorch,Design and build advanced technical systems and solutions.,[Placeholder: Icon for AI Engineer],[Placeholder: Learn link for AI Engineer]
Data Scientist,Python,R,Statistics,Machine Learning,Pandas,NumPy,Analyze data and build predictive ML models.,https://cdn-icons-png.flaticon.com/512/4207/4207253.png,https://www.youtube.com/playlist?list=PLQY2H8rRoyvzDbLUZkbudP-MFQZwNmU4S
Data Analyst,Excel,SQL,Python,Tableau,Power BI,Statistics,Collect, process, and analyze data to find actionable insights.,[Placeholder: Icon for Data Analyst],[Placeholder: Learn link for Data Analyst]
Machine Learning Engineer,Python,TensorFlow,PyTorch,ML Algorithms,Data Processing,Design and build advanced technical systems and solutions.,[Placeholder: Icon for Machine Learning Engineer],[Placeholder: Learn link for Machine Learning Engineer]
Business Analyst,Excel,SQL,Power BI,Communication,Problem Solving,Perform specialized tasks related to Business.,[Placeholder: Icon for Business Analyst],[Placeholder: Learn link for Business Analyst]
UI/UX Designer,Figma,Adobe XD,Wireframing,Prototyping,Design Thinking,Focus on user experience and the visual design of digital products.,[Placeholder: Icon for UI/UX Designer],[Placeholder: Learn link for UI/UX Designer]
Mobile App Developer,Java,Kotlin,Swift,Flutter,React Native,Git,Perform specialized tasks related to Mobile App.,[Placeholder: Icon for Mobile App Developer],[Placeholder: Learn link for Mobile App Developer]
Cybersecurity Analyst,Network Security,Python,Ethical Hacking,Firewalls,Risk Assessment,Perform specialized tasks related to Cybersecurity.,[Placeholder: Icon for Cybersecurity Analyst],[Placeholder: Learn link for Cybersecurity Analyst]
Cloud Engineer,AWS,Azure,GCP,Docker,Kubernetes,Networking,Manage and automate infrastructure, deployment, and cloud services.,[Placeholder: Icon for Cloud Engineer],[Placeholder: Learn link for Cloud Engineer]
DevOps Engineer,Jenkins,Docker,Kubernetes,Linux,Git,CI/CD,Manage and automate infrastructure, deployment, and cloud services.,[Placeholder: Icon for DevOps Engineer],[Placeholder: Learn link for DevOps Engineer]
Software Tester,Selenium,Java,Python,Manual Testing,Automation Testing,Ensure software quality by identifying and reporting defects.,[Placeholder: Icon for Software Tester],[Placeholder: Learn link for Software Tester]
Game Developer,C++,Unity,Unreal Engine,3D Modeling,Animation,Design and program interactive games and digital experiences.,[Placeholder: Icon for Game Developer],[Placeholder: Learn link for Game Developer]
Blockchain Developer,Solidity,Ethereum,Smart Contracts,Web3.js,Cryptography,Perform specialized tasks related to Blockchain.,[Placeholder: Icon for Blockchain Developer],[Placeholder: Learn link for Blockchain Developer]
IoT Developer,Python,Arduino,Raspberry Pi,Sensors,Networking,Perform specialized tasks related to IoT.,[Placeholder: Icon for IoT Developer],[Placeholder: Learn link for IoT Developer]
